"Elite Vanguard","MONO_WHITE","CREATURE","1",
"Isamaru, Hound of Konda","MONO_WHITE","CREATURE","1",
"Mother of Runes","MONO_WHITE","CREATURE","1",
"Soldier of the Pantheon","MONO_WHITE","CREATURE","1",
"Steppe Lynx","MONO_WHITE","CREATURE","1",
"Weathered Wayfarer","MONO_WHITE","CREATURE","1",
"Daring Skyjek","MONO_WHITE","CREATURE","2",
"Kor Skyfisher","MONO_WHITE","CREATURE","2",
"Precinct Captain","MONO_WHITE","CREATURE","2",
"Stoneforge Mystic","MONO_WHITE","CREATURE","2",
"Thalia, Guardian of Thraben","MONO_WHITE","CREATURE","2",
"Wall of Omens","MONO_WHITE","CREATURE","2",
"War Priest of Thune","MONO_WHITE","CREATURE","2",
"Blade Splicer","MONO_WHITE","CREATURE","3",
"Fiend Hunter","MONO_WHITE","CREATURE","3",
"Flickerwisp","MONO_WHITE","CREATURE","3",
"Frontline Medic","MONO_WHITE","CREATURE","3",
"Mirran Crusader","MONO_WHITE","CREATURE","3",
"Restoration Angel","MONO_WHITE","CREATURE","4",
"Baneslayer Angel","MONO_WHITE","CREATURE","5",
"Belfry Spirit","MONO_WHITE","CREATURE","5",
"Cloudgoat Ranger","MONO_WHITE","CREATURE","5",
"Geist-Honored Monk","MONO_WHITE","CREATURE","5",
"Karmic Guide","MONO_WHITE","CREATURE","5",
"Captain of the Watch","MONO_WHITE","CREATURE","6",
"Exalted Angel","MONO_WHITE","CREATURE","6",
"Sun Titan","MONO_WHITE","CREATURE","6",
"Angel of Serenity","MONO_WHITE","CREATURE","7",
"Ajani, Caller of the Pride","MONO_WHITE","PLANESWALKER","3",
"Ajani Goldmane","MONO_WHITE","PLANESWALKER","4",
"Gideon Jura","MONO_WHITE","PLANESWALKER","5",
"Porcelain Legionnaire","MONO_WHITE","ARTIFACT_CREATURE","3",
"Enlightened Tutor","MONO_WHITE","INSTANT","1",
"Path to Exile","MONO_WHITE","INSTANT","1",
"Swords to Plowshares","MONO_WHITE","INSTANT","1",
"Midnight Haunting","MONO_WHITE","INSTANT","3",
"Balance","MONO_WHITE","SORCERY","2",
"Spectral Procession","MONO_WHITE","SORCERY","3",
"Day of Judgment","MONO_WHITE","SORCERY","4",
"Wrath of God","MONO_WHITE","SORCERY","4",
"Martial Coup","MONO_WHITE","SORCERY","7",
"Entreat the Angels","MONO_WHITE","SORCERY","13",
"Land Tax","MONO_WHITE","ENCHANTMENT","1",
"Journey to Nowhere","MONO_WHITE","ENCHANTMENT","2",
"Luminarch Ascension","MONO_WHITE","ENCHANTMENT","2",
"Pacifism","MONO_WHITE","ENCHANTMENT","2",
"Banishing Light","MONO_WHITE","ENCHANTMENT","3",
"Glorious Anthem","MONO_WHITE","ENCHANTMENT","3",
"Mobilization","MONO_WHITE","ENCHANTMENT","3",
"Oblivion Ring","MONO_WHITE","ENCHANTMENT","3",
"Faith's Fetters","MONO_WHITE","ENCHANTMENT","4",
"Spear of Heliod","MONO_WHITE","ENCHANTMENT_ARTIFACT","3",
"Delver of Secrets","MONO_BLUE","CREATURE","1",
"Enclave Cryptologist","MONO_BLUE","CREATURE","1",
"Augur of Bolas","MONO_BLUE","CREATURE","2",
"Mindshrieker","MONO_BLUE","CREATURE","2",
"Phantasmal Image","MONO_BLUE","CREATURE","2",
"Aether Adept","MONO_BLUE","CREATURE","3",
"Deathcult Rogue","MONO_BLUE","CREATURE","3",
"Man-o'-War","MONO_BLUE","CREATURE","3",
"Sea Gate Oracle","MONO_BLUE","CREATURE","3",
"Archaeomancer","MONO_BLUE","CREATURE","4",
"Clone","MONO_BLUE","CREATURE","4",
"Mist Raven","MONO_BLUE","CREATURE","4",
"Ninja of the Deep Hours","MONO_BLUE","CREATURE","4",
"Mnemonic Wall","MONO_BLUE","CREATURE","5",
"Mulldrifter","MONO_BLUE","CREATURE","5",
"Aetherling","MONO_BLUE","CREATURE","6",
"Consecrated Sphinx","MONO_BLUE","CREATURE","6",
"Deadeye Navigator","MONO_BLUE","CREATURE","6",
"Frost Titan","MONO_BLUE","CREATURE","6",
"Stormtide Leviathan","MONO_BLUE","CREATURE","8",
"Jace Beleren","MONO_BLUE","PLANESWALKER","3",
"Jace, Architect of Thought","MONO_BLUE","PLANESWALKER","4",
"Trespassing Souleater","MONO_BLUE","ARTIFACT_CREATURE","3",
"Phyrexian Metamorph","MONO_BLUE","ARTIFACT_CREATURE","4",
"Crystal Shard","MONO_BLUE","ARTIFACT","3",
"Brainstorm","MONO_BLUE","INSTANT","1",
"Mystical Tutor","MONO_BLUE","INSTANT","1",
"Vapor Snag","MONO_BLUE","INSTANT","1",
"Counterspell","MONO_BLUE","INSTANT","2",
"Mana Leak","MONO_BLUE","INSTANT","2",
"Memory Lapse","MONO_BLUE","INSTANT","2",
"Peel from Reality","MONO_BLUE","INSTANT","2",
"Capsize","MONO_BLUE","INSTANT","3",
"Thirst for Knowledge","MONO_BLUE","INSTANT","3",
"Cryptic Command","MONO_BLUE","INSTANT","4",
"Fact or Fiction","MONO_BLUE","INSTANT","4",
"Rewind","MONO_BLUE","INSTANT","4",
"Jace's Ingenuity","MONO_BLUE","INSTANT","5",
"Condescend","MONO_BLUE","INSTANT","6",
"Careful Study","MONO_BLUE","SORCERY","1",
"Ponder","MONO_BLUE","SORCERY","1",
"Preordain","MONO_BLUE","SORCERY","1",
"Hands of Binding","MONO_BLUE","SORCERY","2",
"Compulsive Research","MONO_BLUE","SORCERY","3",
"Sleep","MONO_BLUE","SORCERY","4",
"Tidings","MONO_BLUE","SORCERY","5",
"Control Magic","MONO_BLUE","ENCHANTMENT","4",
"Opposition","MONO_BLUE","ENCHANTMENT","4",
"Mind Control","MONO_BLUE","ENCHANTMENT","5",
"Confiscate","MONO_BLUE","ENCHANTMENT","6",
"Bident of Thassa","MONO_BLUE","ENCHANTMENT_ARTIFACT","4",
"Shelldock Isle","MONO_BLUE","LAND","0",
"Carnophage","MONO_BLACK","CREATURE","1",
"Diregraf Ghoul","MONO_BLACK","CREATURE","1",
"Gravecrawler","MONO_BLACK","CREATURE","1",
"Vampire Lacerator","MONO_BLACK","CREATURE","1",
"Bloodghast","MONO_BLACK","CREATURE","2",
"Gatekeeper of Malakir","MONO_BLACK","CREATURE","2",
"Knight of Infamy","MONO_BLACK","CREATURE","2",
"Nantuko Shade","MONO_BLACK","CREATURE","2",
"Nezumi Graverobber","MONO_BLACK","CREATURE","2",
"Vampire Hexmage","MONO_BLACK","CREATURE","2",
"Bone Shredder","MONO_BLACK","CREATURE","3",
"Fleshbag Marauder","MONO_BLACK","CREATURE","3",
"Geralf's Messenger","MONO_BLACK","CREATURE","3",
"Hypnotic Specter","MONO_BLACK","CREATURE","3",
"Phyrexian Rager","MONO_BLACK","CREATURE","3",
"Vampire Nighthawk","MONO_BLACK","CREATURE","3",
"Braids, Cabal Minion","MONO_BLACK","CREATURE","4",
